origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Departamento General Alvear,Saladas,10959.7976890,303110.4968929,17494.9011340,331565.1957159
Departamento General Alvear,San Cosme,10959.7976890,426783.5533271,8889.7113288,446633.0623448
Departamento General Alvear,San Luis del Palmar,10959.7976890,426783.5533271,13975.0313828,451718.3823988
Departamento General Alvear,Departamento San Martin,10959.7976890,14185.1987910,12625.0211993,37770.0176792
Departamento General Alvear,Departamento San Miguel,10959.7976890,367909.8812416,6781.4573733,385651.1363039
Departamento General Alvear,San Roque,10959.7976890,278512.1136111,5391.2224765,294863.1337765
Departamento General Alvear,Santo Tome,10959.7976890,89072.4026814,2843.6735059,102875.8738763
Departamento General Alvear,Sauce,10959.7976890,232161.9401194,54383.6140275,297505.3518360
Departamento General Paz,Capital,23261.5634817,212548.6040448,10614.3855158,246424.5530424
Departamento General Paz,Bella Vista,23261.5634817,208132.5931864,27833.4253463,259227.5820144
Departamento General Paz,Departartamento Beron de Astrada,23261.5634817,109521.0534548,8754.0021951,141536.6191317
Departamento General Paz,Concepcion,23261.5634817,49587.5146951,22708.3855719,95557.4637487
Departamento General Paz,Curuzu Cuatia,23261.5634817,333660.2910466,8346.2604857,365268.1150140
Departamento General Paz,Empedrado,23261.5634817,167057.4005920,2229.8684496,192548.8325233
Departamento General Paz,Esquina,23261.5634817,350486.1556603,2343.7722209,376091.4913629
Departamento General Paz,Departamento General Alvear,23261.5634817,355127.3195683,10959.7976890,389348.6807391
Departamento General Paz,Departamento General Paz,23261.5634817,0.0000000,10959.7976890,389348.6807391
Departamento General Paz,Goya,23261.5634817,256424.8473083,10757.2401710,290443.6509611
Departamento General Paz,Itati,23261.5634817,186421.2799995,10226.3480242,219909.1915054
Departamento General Paz,Ituzaingo,23261.5634817,95903.1779667,7136.4546080,126301.1960564
Departamento General Paz,Lavalle,23261.5634817,243616.9432670,15977.9407926,282856.4475413
Departamento General Paz,Mburucuya,23261.5634817,71748.8374736,26223.7016010,121234.1025564
Departamento General Paz,Mercedes,23261.5634817,251096.7159973,5020.3067126,279378.5861916
Departamento General Paz,Monte Caseros,23261.5634817,378264.0379425,26737.2007317,428262.8021559
Departamento General Paz,Paso de los Libres,23261.5634817,380002.1619645,6312.7632535,409576.4886998
Departamento General Paz,Saladas,23261.5634817,131168.8146090,17494.9011340,171925.2792247
Departamento General Paz,San Cosme,23261.5634817,219758.1991226,8889.7113288,251909.4739331
Departamento General Paz,San Luis del Palmar,23261.5634817,219758.1991226,13975.0313828,256994.7939871
Departamento General Paz,Departamento San Martin,23261.5634817,369312.5183593,12625.0211993,405199.1030403
Departamento General Paz,Departamento San Miguel,23261.5634817,12782.5616732,6781.4573733,42825.5825283
Departamento General Paz,San Roque,23261.5634817,155767.1978909,5391.2224765,184419.9838491
Departamento General Paz,Santo Tome,23261.5634817,266054.9168869,2843.6735059,292160.1538746
Departamento General Paz,Sauce,23261.5634817,418144.1196725,54383.6140275,495789.2971818
Goya,Capital,10757.2401710,223417.3973796,10614.3855158,244789.0230664
Goya,Bella Vista,10757.2401710,105816.2846694,27833.4253463,144406.9501867
Goya,Departartamento Beron de Astrada,10757.2401710,359166.2348012,8754.0021951,378677.4771673
Goya,Concepcion,10757.2401710,206837.3326133,22708.3855719,240302.9583562
Goya,Curuzu Cuatia,10757.2401710,231343.9825295,8346.2604857,250447.4831863
Goya,Empedrado,10757.2401710,177926.1939268,2229.8684496,190913.3025474
Goya,Esquina,10757.2401710,94061.3083520,2343.7722209,107162.3207439
Goya,Departamento General Alvear,10757.2401710,331963.0029849,10959.7976890,353680.0408449
Goya,Departamento General Paz,10757.2401710,256424.8473083,23261.5634817,290443.6509611
Goya,Goya,10757.2401710,0.0000000,23261.5634817,290443.6509611
